FIRM;Year;Dependen;Indenpenden_1;Indenpenden_2
IBM;1935;20.36;197.00;6.50
IBM;1936;25.98;210.30;15.80
IBM;1937;25.94;223.10;27.70
IBM;1938;27.53;216.70;39.20
IBM;1939;24.60;286.40;48.60
IBM;1940;28.54;298.00;52.50
IBM;1941;43.41;276.90;61.50
IBM;1942;42.81;272.60;80.50
IBM;1943;27.84;287.40;94.40
IBM;1944;32.60;330.30;92.60
IBM;1945;39.03;324.40;92.30
IBM;1946;50.17;401.90;94.20
IBM;1947;51.85;407.40;111.40
IBM;1948;64.03;409.20;127.40
IBM;1949;68.16;482.20;149.30
IBM;1950;73.34;673.80;164.40
IBM;1951;95.30;676.90;177.20
IBM;1952;99.49;702.00;200.00
IBM;1953;127.52;793.50;211.50
IBM;1954;135.72;927.30;238.70
GOOD;1935;26.63;290.60;162.00
GOOD;1936;23.39;291.10;174.00
GOOD;1937;30.65;335.00;183.00
GOOD;1938;20.89;246.00;198.00
GOOD;1939;28.78;356.20;208.00
GOOD;1940;26.93;289.80;223.00
GOOD;1941;32.08;268.20;234.00
GOOD;1942;32.21;213.30;248.00
GOOD;1943;35.69;348.20;274.00
GOOD;1944;62.47;374.20;282.00
GOOD;1945;52.32;387.20;316.00
GOOD;1946;56.95;347.40;302.00
GOOD;1947;54.32;291.90;333.00
GOOD;1948;40.53;297.20;359.00
GOOD;1949;32.54;276.90;370.00
GOOD;1950;43.48;274.60;376.00
GOOD;1951;56.49;339.90;391.00
GOOD;1952;65.98;474.80;414.00
GOOD;1953;66.11;496.00;443.00
GOOD;1954;49.34;474.50;468.00
UO;1935;24.43;138.00;100.20
UO;1936;23.21;200.10;125.00
UO;1937;32.78;210.10;142.40
UO;1938;32.54;161.20;165.10
UO;1939;26.65;161.70;194.80
UO;1940;33.71;145.10;222.90
UO;1941;43.50;110.60;252.10
UO;1942;34.46;98.10;276.30
UO;1943;44.28;108.80;300.30
UO;1944;70.80;118.20;318.20
UO;1945;44.12;126.50;336.20
UO;1946;48.98;156.70;351.20
UO;1947;48.51;119.40;373.60
UO;1948;50.00;129.10;389.40
UO;1949;50.59;134.80;406.70
UO;1950;42.53;140.80;429.50
UO;1951;64.77;179.00;450.60
UO;1952;72.68;178.10;466.90
UO;1953;73.86;186.80;486.20
UO;1954;89.51;192.70;511.30
US;1935;209.90;1362.40;53.80
US;1936;355.30;1807.10;50.50
US;1937;469.90;2676.30;118.10
US;1938;262.30;1801.90;260.20
US;1939;230.40;1957.30;312.70
US;1940;361.60;2202.90;254.20
US;1941;472.80;2380.50;261.40
US;1942;445.60;2168.60;298.70
US;1943;361.60;1985.10;301.80
US;1944;288.20;1813.90;279.10
US;1945;258.70;1850.20;213.80
US;1946;420.30;2067.70;232.60
US;1947;420.50;1796.70;264.80
US;1948;494.50;1625.80;306.90
US;1949;405.10;1667.00;351.10
US;1950;418.80;1677.40;357.80
US;1951;588.20;2289.50;342.10
US;1952;645.20;2159.40;444.20
US;1953;641.00;2031.30;623.60
US;1954;459.30;2115.50;669.70
